feedback,sentiment
"Excellent service!",positive
"The groomer was very gentle and professional.",positive
"Super bait ng staff, babalik ako ulit!",positive
"My pet looked amazing after the grooming.",positive
"Sobrang linis ng place at mabilis sila magtrabaho.",positive
"Okay lang naman, nothing special.",neutral
"Grooming was fine but the waiting time was a bit long.",neutral
"Medyo mabagal pero acceptable naman.",neutral
"Hindi ganun kaayos, pero pwede na rin.",neutral
"It was average.",neutral
"The groomer was late and didnâ€™t seem interested.",negative
"Bad experience. My dog was scared after the grooming.",negative
"Ang pangit ng cut, hindi pantay.",negative
"Unprofessional staff, rude behavior.",negative
"Hindi ako nasiyahan, never na ako babalik.",negative
"I loved how gentle the groomer was with my dog.",positive
"They took care of my dog like a baby.",positive
"The groomer was rough and didnâ€™t follow instructions.",negative
"Grooming was okay but took too long.",neutral
"Very professional and kind.",positive
"Super gentle with my pet.",positive
"Staff were friendly but the place smelled weird.",neutral
"My dog came home with a cut on his paw.",negative
"Great experience, they even gave my dog a treat!",positive
"Napakaalaga nila sa aso ko, thank you!",positive
"Service was okay but my dog didnâ€™t look happy.",neutral
"Very dirty area. Not recommended.",negative
"Ang tagal ko naghintay pero okay naman outcome.",neutral
"Will definitely recommend to others.",positive
"My pet got hurt! Very disappointed.",negative
"Avoid this place at all costs.",negative
"Fast and friendly service!",positive
"Terrible service. Overpriced and not worth it.",negative
"Too noisy, but staff were trying their best.",neutral
"Mabango at maayos ang pet ko pagkakuha ko.",positive
"Ang galing nila mag-alaga ng aso ko.",positive
"Napakabait ng groomer, sobrang lambing sa pet ko.",positive
"My cat was well taken care of, thank you!",positive
"Maayos ang serbisyo, uulit ako.",positive
"They even gave free treats, super happy!",positive
"Ang linis ng fur after grooming, good job!",positive
"My pet enjoyed the grooming session.",positive
"Friendly and accommodating staff!",positive
"Wala namang kakaiba, sakto lang.",neutral
"Grooming was average, nothing stood out.",neutral
"Okay naman pero pwede pang i-improve.",neutral
"Pwede na rin, hindi naman sobrang ganda.",neutral
"My pet looked okay but not very neat.",neutral
"Not bad, not great either.",neutral
"Service was fair, room was a bit hot though.",neutral
"Matagal ang hintayan pero understandable naman.",neutral
"Poor service. My pet was trembling after.",negative
"Not coming back here. Very rude staff.",negative
"The haircut was uneven and rushed.",negative
"Di marunong yung groomer, ang pangit ng gawa.",negative
"My pet smelled weird after grooming.",negative
"Parang minadali yung service, hindi maayos.",negative
"My request was ignored. Very disappointing.",negative
"Unhygienic area. Pet got ticks after visit.",negative
"Nagka-cut yung tenga ng pet ko, grabe!",negative
"Sobrang galing! Parang spa day sa pet ko ğŸ˜",positive
"My dog came out looking like a superstar âœ¨ğŸ¶",positive
"Pet-friendly staff, will book again ğŸ’¯",positive
"Best grooming experience ever! ğŸ‘Œ",positive
"Literal na nag-glow up si furbaby ko ğŸ˜ğŸ¾",positive
"Sana all ganito kaalaga sa pets ğŸ˜Œ",positive
"Okay na sana pero di smooth yung trim ğŸ¤·â€â™€ï¸",neutral
"Not the worst, pero not the best din.",neutral
"Service was meh. You decide.",neutral
"Kinda sloppy pero at least buhay pa si doggo ğŸ¶",neutral
"Cut was okay pero parang tinamad sila ğŸ˜",neutral
"Yung grooming, parang gusto na lang nila matapos agad ğŸ˜’",neutral
"Wow. Just wow. Hindi ko na uulitin ğŸ˜¤",negative
"My dog is traumatized. Thanks a lot. ğŸ˜¡",negative
"Never again. Sana nag-DIY na lang ako.",negative
"Puro rants lang to pero ang totooâ€”ang pangit ng cut.",negative
"Gusto ko lang sabihin, wag kayo dito ğŸ˜¤",negative
"Sayang pera, sayang oras, sayang lahat.",negative
"Sino ba tong groomer? Mukhang bagong gising eh ğŸ˜¤",negative
"ğŸ‘ğŸ‘ğŸ‘ 3 thumbs down if I had another hand.",negative
"Napaka-accommodating ng staff! Will recommend!",positive
"My cat came out relaxed and happy ğŸ±ğŸ’†â€â™€ï¸",positive
"Quick service, friendly people. Galing!",positive
"Highly recommended! Sulit bayad ko!",positive
"Clean place, mababait ang staff ğŸ’–",positive
"Di ko ineexpect na ganito kaayos! ğŸ¤©",positive
"Okay lang, nothing new.",neutral
"Sakto lang yung trim. Could be better.",neutral
"Could be faster, pero okay naman.",neutral
"Service was fine pero hindi memorable.",neutral
"Pet was okay pero parang nabitin sa linis.",neutral
"Average at best.",neutral
"Late na nga, ang sungit pa ğŸ˜¤",negative
"Super disappointing. Di ko na dadalhin ulit pet ko dito.",negative
"Poor service. As in sobrang tagal and di pantay cut.",negative
"Worst experience ever. Walang care sa pet ko.",negative
"Parang minadali lang. Hindi maayos ğŸ˜",negative
"Nagalusan si dog, hindi ata maingat!",negative
"Ang tagal mag reply, tapos wala pa sa ayos.",negative
"Staff was rude, didnâ€™t even greet me.",negative
"Di ko gets bakit ang daming good reviews. Trash.",negative
"super bait ng staff, babalik ako ulit dito para mag pa groom!",positive